time_s,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
-0.2642367869998452,0.6528401225098897,-0.26818095302922396,0.31481472546459904,1.9464350796138015,-2.381365675347958,0.037263523814683744,0.0,0.0,0.0,0.0,0.0,0.0
-0.25624469100011993,0.6528364904500815,-0.2682149003473008,0.31481728060629643,1.946372104197847,-2.381405314098748,0.0372738286809958,0.0,0.0,0.0,0.0,0.0,0.0
-0.24816482100004578,0.65285657152704,-0.2682002829010145,0.31482440255622635,1.946424787347414,-2.3813842017694467,0.037275779873276106,0.0,0.0,0.0,0.0,0.0,0.0
-0.2401917020001747,0.6528342496672754,-0.2681916574023215,0.3148231096712176,1.9464229365647765,-2.381350657203209,0.03731274156757467,0.0,0.0,0.0,0.0,0.0,0.0
-0.23216939699977956,0.6528319890452445,-0.2682213619684664,0.3148450256389586,1.9464137966024753,-2.381432527539405,0.03732756159092571,0.0,0.0,0.0,0.0,0.0,0.0
-0.22415440599979775,0.6528403313660016,-0.2681704929023514,0.3148294627995535,1.946445477420557,-2.3814116416349287,0.03728241095891982,0.0,0.0,0.0,0.0,0.0,0.0
-0.21612459100015258,0.6528321839159767,-0.26822364714836916,0.3148134025079127,1.9464052850378988,-2.3813250118667293,0.03722779178353199,0.0,0.0,0.0,0.0,0.0,0.0
-0.20826120999981867,0.6528558910189816,-0.2681833235586835,0.3148136903861247,1.946420893037974,-2.3813779368090784,0.037264601682832486,0.0,0.0,0.0,0.0,0.0,0.0
-0.20020177500009595,0.6528276210846167,-0.26820198785441307,0.3148029251667808,1.9463891929704413,-2.3813953630744673,0.037196210724679483,0.0,0.0,0.0,0.0,0.0,0.0
-0.19226693000018713,0.6528419712837307,-0.26818949170391126,0.3148335527954725,1.9464726111213562,-2.381354979848344,0.0372889528680391,0.0,0.0,0.0,0.0,0.0,0.0
-0.1842553480000788,0.6528485339150145,-0.2681811018282647,0.3148239591931576,1.946520374456627,-2.3813269471080876,0.037275528072141136,0.0,0.0,0.0,0.0,0.0,0.0
-0.17618417799985764,0.6528255072625013,-0.26821325444083055,0.31485310845720094,1.946366979755111,-2.381430286570326,0.03730240435991947,0.0,0.0,0.0,0.0,0.0,0.0
-0.16815484500011735,0.6528508741813165,-0.2681814709634995,0.314810374729239,1.9464174321362238,-2.3813720376447316,0.037225055020101074,0.0,0.0,0.0,0.0,0.0,0.0
-0.16014445800010435,0.6528292689269626,-0.26821160539888017,0.31482187945007356,1.9463925608731076,-2.381400975138253,0.037234563048389346,0.0,0.0,0.0,0.0,0.0,0.0
-0.1521499989999029,0.6528297418842919,-0.26821498025977786,0.3148260412207502,1.9464080669310613,-2.381393960201487,0.037325349693929755,0.0,0.0,0.0,0.0,0.0,0.0
-0.14415972100005092,0.6528379978084821,-0.2681974942523543,0.3147983824904704,1.9464110546328834,-2.3813645319243766,0.03723432585162373,0.0,0.0,0.0,0.0,0.0,0.0
-0.13615818800008128,0.6528512136545626,-0.26819199179118297,0.3148361644244238,1.9464245483020624,-2.3813832758479374,0.037302978809361724,0.0,0.0,0.0,0.0,0.0,0.0
-0.1281262699999388,0.6528345235025684,-0.26820411900104163,0.31481912076481433,1.9463870790335918,-2.381425868691542,0.03726315155024165,0.0,0.0,0.0,0.0,0.0,0.0
-0.1200953219999974,0.6528334285388867,-0.26819458631619975,0.3148514883164747,1.946416467594461,-2.3814350450892885,0.03728052082559757,0.0,0.0,0.0,0.0,0.0,0.0
-0.1121263589998307,0.6528490973290807,-0.2681991518359835,0.31483468605767817,1.9464337493970083,-2.3813971058123222,0.03730315191564559,0.0,0.0,0.0,0.0,0.0,0.0
-0.10416831400016235,0.6528540447247718,-0.2681946143718929,0.31483208393485806,1.9463984398140162,-2.381412259416655,0.037369661526029295,0.0,0.0,0.0,0.0,0.0,0.0
-0.09616501399978006,0.6528489514689813,-0.26820133913994115,0.31481918891711236,1.946422689126202,-2.381383014407816,0.037327635045228645,0.0,0.0,0.0,0.0,0.0,0.0
-0.0881712499999594,0.652841335240788,-0.26819383099148114,0.3148338365007061,1.9464362620105657,-2.3813385901399875,0.037338564023302684,0.0,0.0,0.0,0.0,0.0,0.0
