/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.5303, -0.1147, 0.55] | 姿态(rx,ry,rz rad): [-1.2689, 2.8112, 0.5076]
FK 一致度: 0.002462 m / 0.004511 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [14, 7, 6, 5, 4, 3, 2, 12, 13, 26, 21, 22, 23, 15, 16, 24, 17, 9, 8, 18, 1, 25, 19, 11, 10, 20]
当前位姿最小奇异值 0.3024（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
16   SUMMARY    reorient_first         -         -         -         -        - PASS
24   lift       reorient_first    0.0000    0.0000    0.7007    0.2279   0.2519 PASS
24   reorient   reorient_first    0.0000    0.0000    0.5641    0.2279   0.5500 PASS
24   translate  reorient_first    0.0000    0.0000    0.3662    0.1291   0.5500 PASS
24   descend    reorient_first    0.0000    0.0000    0.3662    0.1291   0.2502 PASS
24   SUMMARY    reorient_first         -         -         -         -        - PASS
17   lift       reorient_first    0.0000    0.0000    0.3662    0.1291   0.2502 PASS
17   reorient   reorient_first    0.0000    0.0000    0.3662    0.0726   0.5500 PASS
17   translate  reorient_first    0.0000    0.0000    0.7300    0.0726   0.5500 PASS
17   descend    reorient_first    0.0000    0.0000    0.7300    0.1730   0.2686 PASS
17   SUMMARY    reorient_first         -         -         -         -        - PASS
9    lift       reorient_first    0.0000    0.0000    0.7300    0.1730   0.2686 PASS
9    reorient   reorient_first    0.0000    0.0000    0.7300    0.1582   0.5500 PASS
9    translate  reorient_first    0.0000    0.0000    0.9023    0.1582   0.5500 PASS
9    descend    reorient_first    0.0000    0.0000    1.0684    0.2639   0.2504 PASS
9    SUMMARY    reorient_first         -         -         -         -        - PASS
8    lift       reorient_first    0.0000    0.0000    1.0684    0.2639   0.2504 PASS
8    reorient   reorient_first    0.0000    0.0000    1.0684    0.2268   0.5500 PASS
8    translate  reorient_first    0.0000    0.0000    1.4912    0.2132   0.5500 PASS
8    descend    reorient_first    0.0000    0.0000    1.1777    0.2070   0.2522 PASS
8    SUMMARY    reorient_first         -         -         -         -        - PASS
18   lift       reorient_first    0.0000    0.0000    1.1777    0.2070   0.2522 PASS
18   reorient   reorient_first    0.0000    0.0000    1.4760    0.1406   0.5500 PASS
18   translate  reorient_first    0.0000    0.0000    1.4760    0.1405   0.5500 PASS
18   descend    reorient_first    0.0000    0.0000    1.5630    0.1672   0.2657 PASS
18   SUMMARY    reorient_first         -         -         -         -        - PASS
1    lift       reorient_first    0.0000    0.0000    1.5630    0.1672   0.2657 PASS
1    reorient   reorient_first    0.0000    0.0000    1.5630    0.1708   0.5500 PASS
1    translate  reorient_first    0.0000    0.0000    1.1778    0.1723   0.5500 PASS
1    descend    reorient_first    0.0000    0.0000    0.7356    0.1689   0.2508 PASS
1    SUMMARY    reorient_first         -         -         -         -        - PASS
25   lift       reorient_first    0.0000    0.0000    0.7356    0.1689   0.2508 PASS
25   reorient   reorient_first    0.0000    0.0000    1.1778    0.1723   0.5500 PASS
25   translate  reorient_first    0.0000    0.0000    1.1778    0.1723   0.5500 PASS
25   descend    reorient_first    0.0000    0.0000    0.7356    0.1689   0.2508 PASS
25   SUMMARY    reorient_first         -         -         -         -        - PASS
19   lift       reorient_first    0.0000    0.0000    0.7356    0.1689   0.2508 PASS
19   reorient   reorient_first    0.0000    0.0000    1.1741    0.1670   0.5500 PASS
19   translate  reorient_first    0.0000    0.0000    1.1833    0.1680   0.5500 PASS
19   descend    reorient_first    0.0000    0.0000    1.0175    0.2112   0.3903 PASS
19   SUMMARY    reorient_first         -         -         -         -        - PASS
11   lift       reorient_first    0.0000    0.0000    1.0175    0.2112   0.3903 PASS
11   reorient   reorient_first    0.0000    0.0000    1.2229    0.2030   0.5500 PASS
11   translate  reorient_first    0.0000    0.0000    1.0667    0.0892   0.5500 PASS
11   descend    reorient_first    0.0000    0.0000    0.6417    0.0874   0.2957 PASS
11   SUMMARY    reorient_first         -         -         -         -        - PASS
10   lift       reorient_first    0.0000    0.0000    0.6417    0.0874   0.2957 PASS
10   reorient   reorient_first    0.0000    0.0000    0.7383    0.0805   0.5500 PASS
10   translate  reorient_first    0.0000    0.0000    0.5309    0.2032   0.5500 PASS
10   descend    reorient_first    0.0000    0.0000    0.5309    0.2555   0.2524 PASS
10   SUMMARY    reorient_first         -         -         -         -        - PASS
20   lift       reorient_first    0.0000    0.0000    0.5309    0.2555   0.2524 PASS
20   reorient   reorient_first    0.0000    0.0000    0.5309    0.2131   0.5500 PASS
20   translate  reorient_first    0.0000    0.0000    0.9857    0.1011   0.5500 PASS
20   descend    reorient_first    0.0000    0.0000    0.7967    0.1010   0.4280 PASS
20   RESCUE     roll +15 deg           -         -         -         -        - PASS 绕光轴转 +15° 后整链通过
20   SUMMARY    reorient_first         -         -         -         -        - PASS

离线数值门禁: PASS
注意：本门禁不证明无碰撞（仓库无场景模型）；避障依靠抬升-平移-下降结构与高于台面所有物体的巡航高度，仍需人眼确认。
OUTPUT: outputs/vision/gate-wrist2.json
