/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.5303, -0.1147, 0.5499] | 姿态(rx,ry,rz rad): [-1.2688, 2.8111, 0.5077]
FK 一致度: 0.002462 m / 0.004510 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [21, 13, 26, 6, 15, 14, 5, 4, 3, 12, 20, 22, 23, 24, 17, 16, 7, 9, 18, 8, 10, 1, 25, 11, 19, 2]
当前位姿最小奇异值 0.3024（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
17   descend    reorient_first    0.0000    0.0000    0.7300    0.1730   0.2686 PASS
17   SUMMARY    reorient_first         -         -         -         -        - PASS
16   lift       reorient_first    0.0000    0.0000    0.7300    0.1730   0.2686 PASS
16   reorient   reorient_first    0.0000    0.0000    0.5264    0.1669   0.5500 PASS
16   translate  reorient_first    0.0000    0.0000    0.5264    0.1669   0.5500 PASS
16   descend    reorient_first    0.0000    0.0000    0.7007    0.2279   0.2519 PASS
16   SUMMARY    reorient_first         -         -         -         -        - PASS
7    lift       reorient_first    0.0000    0.0000    0.7007    0.2279   0.2519 PASS
7    reorient   reorient_first    0.0000    0.0000    0.7007    0.2011   0.5500 PASS
7    translate  reorient_first    0.0000    0.0000    1.1643    0.2011   0.5500 PASS
7    descend    reorient_first    0.0000    0.0000    1.2127    0.2818   0.2517 PASS
7    SUMMARY    reorient_first         -         -         -         -        - PASS
9    lift       reorient_first    0.0000    0.0000    1.2127    0.2818   0.2517 PASS
9    reorient   reorient_first    0.0000    0.0000    1.2127    0.2298   0.5500 PASS
9    translate  reorient_first    0.0000    0.0000    1.5593    0.2298   0.5500 PASS
9    descend    reorient_first    0.0000    0.0000    1.5436    0.2371   0.2991 PASS
9    SUMMARY    reorient_first         -         -         -         -        - PASS
18   lift       reorient_first    0.0000    0.0000    1.5436    0.2371   0.2991 PASS
18   reorient   reorient_first    0.0000    0.0000    1.5593    0.1661   0.5500 PASS
18   translate  reorient_first    0.0000    0.0000    1.5630    0.1590   0.5500 PASS
18   descend    reorient_first    0.0000    0.0000    1.5630    0.1672   0.2657 PASS
18   SUMMARY    reorient_first         -         -         -         -        - PASS
8    lift       reorient_first    0.0000    0.0000    1.5630    0.1672   0.2657 PASS
8    reorient   reorient_first    0.0000    0.0000    1.5451    0.1708   0.5500 PASS
8    translate  reorient_first    0.0000    0.0000    1.4912    0.2132   0.5500 PASS
8    descend    reorient_first    0.0000    0.0000    1.1777    0.2070   0.2522 PASS
8    SUMMARY    reorient_first         -         -         -         -        - PASS
10   lift       reorient_first    0.0000    0.0000    1.1777    0.2070   0.2522 PASS
10   reorient   reorient_first    0.0000    0.0000    1.4690    0.1965   0.5500 PASS
10   translate  reorient_first    0.0000    0.0000    1.4690    0.1788   0.5500 PASS
