/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.5304, -0.1147, 0.5499] | 姿态(rx,ry,rz rad): [-1.2688, 2.8112, 0.5076]
FK 一致度: 0.002462 m / 0.004510 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [9, 17, 18, 19, 10, 1, 25, 20, 21, 22, 13, 2, 3, 4, 5, 6, 7, 8, 14, 12, 11, 26, 16, 15, 24, 23]
当前位姿最小奇异值 0.3024（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
5    SUMMARY    reorient_first         -         -         -         -        - PASS
6    lift       reorient_first    0.0000    0.0000    0.9830    0.3180   0.2516 PASS
6    reorient   reorient_first    0.0000    0.0000    0.9465    0.3151   0.5500 PASS
6    translate  reorient_first    0.0000    0.0000    0.9063    0.2935   0.5500 PASS
6    descend    reorient_first    0.0000    0.0000    0.9063    0.2935   0.2523 PASS
6    SUMMARY    reorient_first         -         -         -         -        - PASS
7    lift       reorient_first    0.0000    0.0000    0.9063    0.2935   0.2523 PASS
7    reorient   reorient_first    0.0000    0.0000    0.8999    0.2906   0.5500 PASS
7    translate  reorient_first    0.0000    0.0000    0.8676    0.2749   0.5500 PASS
7    descend    reorient_first    0.0000    0.0000    0.8676    0.2749   0.2527 PASS
7    SUMMARY    reorient_first         -         -         -         -        - PASS
8    lift       reorient_first    0.0000    0.0000    0.8676    0.2749   0.2527 PASS
8    reorient   reorient_first    0.0000    0.0000    0.8676    0.2725   0.5500 PASS
8    translate  reorient_first    0.0000    0.0000    0.8785    0.2676   0.5500 PASS
8    descend    reorient_first    0.0000    0.0000    0.8785    0.2676   0.2528 PASS
8    SUMMARY    reorient_first         -         -         -         -        - PASS
14   lift       reorient_first    0.0000    0.0000    0.8785    0.2676   0.2528 PASS
14   reorient   reorient_first    0.0000    0.0000    0.6902    0.2676   0.5500 PASS
14   translate  reorient_first    0.0000    0.0000    0.5952    0.2720   0.5500 PASS
14   descend    reorient_first    0.0000    0.0000    0.5952    0.2720   0.2517 PASS
14   SUMMARY    reorient_first         -         -         -         -        - PASS
12   lift       reorient_first    0.0000    0.0000    0.5952    0.2720   0.2517 PASS
12   reorient   reorient_first    0.0000    0.0000    0.5633    0.2715   0.5500 PASS
12   translate  reorient_first    0.0000    0.0000    0.4969    0.2408   0.5500 PASS
12   descend    reorient_first    0.0000    0.0000    0.4969    0.2408   0.2527 PASS
12   SUMMARY    reorient_first         -         -         -         -        - PASS
