/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.5304, -0.1147, 0.5499] | 姿态(rx,ry,rz rad): [-1.2689, 2.8111, 0.5077]
FK 一致度: 0.002462 m / 0.004511 rad (门禁 0.010 m / 0.020 rad) -> PASS
当前位姿最小奇异值 0.3024（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
17   reorient   reorient_first    0.0000    0.0000    0.7007    0.2198   0.5500 PASS
17   translate  reorient_first    0.0000    0.0000    0.7300    0.1730   0.5500 PASS
17   descend    reorient_first    0.0000    0.0000    0.7300    0.1730   0.2686 PASS
17   SUMMARY    reorient_first         -         -         -         -        - PASS
18   lift       translate_first   0.0000    0.0000    0.7300    0.1730   0.2686 PASS
18   translate  translate_first   0.0000    0.0000    0.7300    0.1730   0.5500 PASS
18   reorient   translate_first   0.0000    0.0000    0.8052    0.1708   0.5500 PASS
18   descend    translate_first   0.0000    0.0000    0.8287    0.1672   0.2657 PASS
18   SUMMARY    translate_first        -         -         -         -        - PASS
19   lift       reorient_first    0.0000    0.0000    0.8287    0.1672   0.2657 PASS
19   reorient   reorient_first    0.0000    0.0001    0.3040    0.1590   0.5500 PASS
19   translate  reorient_first    0.0000    0.0000    0.7887    0.2735   0.5500 PASS
19   descend    reorient_first    0.0000    0.0000    0.7887    0.2735   0.3747 PASS
19   RESCUE     roll +150 deg          -         -         -         -        - PASS 绕光轴转 +150° 后整链通过
19   SUMMARY    reorient_first         -         -         -         -        - PASS
20   lift       reorient_first    0.0000    0.0000    0.7887    0.2735   0.3747 PASS
20   reorient   reorient_first    0.0000    0.0000    0.7887    0.2511   0.5500 PASS
20   translate  reorient_first    0.0000    0.0000    0.9857    0.1011   0.5500 PASS
20   descend    reorient_first    0.0000    0.0000    0.7967    0.1010   0.4280 PASS
20   RESCUE     roll +15 deg           -         -         -         -        - PASS 绕光轴转 +15° 后整链通过
20   SUMMARY    reorient_first         -         -         -         -        - PASS
21   lift       reorient_first    0.0000    0.0000    0.7967    0.1010   0.4280 PASS
21   reorient   reorient_first    0.0000    0.0000    0.9857    0.1011   0.5500 PASS
21   translate  reorient_first    0.0000    0.0000    1.0564    0.1608   0.5500 PASS
21   descend    reorient_first    0.0000    0.0000    1.1457    0.2477   0.4853 PASS
21   SUMMARY    reorient_first         -         -         -         -        - PASS
22   lift       reorient_first    0.0000    0.0000    1.1457    0.2477   0.4853 PASS
22   reorient   reorient_first    0.0000    0.0000    0.9088    0.2481   0.5500 PASS
22   translate  reorient_first    0.0000    0.0000    0.7981    0.2499   0.5500 PASS
22   descend    reorient_first    0.0000    0.0000    0.7981    0.3382   0.2646 PASS
22   SUMMARY    reorient_first         -         -         -         -        - PASS
23   lift       reorient_first    0.0000    0.0000    0.7981    0.3382   0.2646 PASS
23   reorient   reorient_first    0.0000    0.0000    0.7958    0.3306   0.5500 PASS
23   translate  reorient_first    0.0000    0.0000    0.5822    0.2304   0.5500 PASS
23   descend    reorient_first    0.0000    0.0000    0.5822    0.2304   0.2678 PASS
23   SUMMARY    reorient_first         -         -         -         -        - PASS
24   lift       reorient_first    0.0000    0.0000    0.5822    0.2304   0.2678 PASS
24   reorient   reorient_first    0.0000    0.0000    0.5822    0.2304   0.5500 PASS
24   translate  reorient_first    0.0000    0.0000    0.3662    0.1291   0.5500 PASS
24   descend    reorient_first    0.0000    0.0000    0.3662    0.1291   0.2502 PASS
24   SUMMARY    reorient_first         -         -         -         -        - PASS
25   lift       translate_first   0.0000    0.0000    0.3662    0.1291   0.2502 PASS
25   translate  translate_first   0.0000    0.0000    0.3662    0.1291   0.5500 PASS
25   reorient   translate_first   0.0000    0.0000    0.1339    0.1688   0.5500 PASS
25   descend    translate_first   0.0000    0.0000    0.1339    0.1689   0.2508 PASS
25   SUMMARY    translate_first        -         -         -         -        - PASS
26   lift       reorient_first    0.0000    0.0000    0.1339    0.1689   0.2508 PASS
26   reorient   reorient_first    0.0000    0.0000    0.1339    0.1427   0.5500 PASS
26   translate  reorient_first    0.0000    0.0000    1.1365    0.2361   0.5500 PASS
26   descend    reorient_first    0.0000    0.0000    1.2327    0.3056   0.3755 PASS
26   SUMMARY    reorient_first         -         -         -         -        - PASS

离线数值门禁: PASS
注意：本门禁不证明无碰撞（仓库无场景模型）；避障依靠抬升-平移-下降结构与高于台面所有物体的巡航高度，仍需人眼确认。
OUTPUT: outputs/vision/gate-wrist-listed.json
