/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
当前 TCP: [0.6475, -0.2685, 0.326] | 姿态(rx,ry,rz rad): [1.9352, -2.3646, -0.0002]
FK 一致度: 0.002599 m / 0.004389 rad (门禁 0.010 m / 0.020 rad) -> PASS
访问顺序（关节空间最近邻）: [5, 4, 3, 2, 22, 13, 21, 20, 1, 25, 19, 18, 10, 14, 8, 7, 6, 12, 11, 26, 16, 24, 23, 15, 9, 17]
当前位姿最小奇异值 0.3177（作为奇异度基线）

slot 段          段序              IKpos_mm  rot_mrad      关节余量      最小奇异      法兰z 结论
14   descend    reorient_first    0.0000    0.0000    0.8008    0.2716   0.3169 PASS
14   RESCUE     roll -30 deg           -         -         -         -        - PASS 绕光轴转 -30° 后整链通过
14   SUMMARY    reorient_first         -         -         -         -        - PASS
8    lift       reorient_first    0.0000    0.0000    0.8008    0.2716   0.3169 PASS
8    reorient   reorient_first    0.0000    0.0000    0.8008    0.2671   0.5500 PASS
8    translate  reorient_first    0.0000    0.0000    0.8613    0.2671   0.5500 PASS
8    descend    reorient_first    0.0000    0.0000    0.8785    0.2676   0.2528 PASS
8    SUMMARY    reorient_first         -         -         -         -        - PASS
7    lift       reorient_first    0.0000    0.0000    0.8785    0.2676   0.2528 PASS
7    reorient   reorient_first    0.0000    0.0000    0.8551    0.2676   0.5500 PASS
7    translate  reorient_first    0.0000    0.0000    0.8556    0.2701   0.5500 PASS
7    descend    reorient_first    0.0000    0.0000    0.8676    0.2749   0.2527 PASS
7    SUMMARY    reorient_first         -         -         -         -        - PASS
6    lift       reorient_first    0.0000    0.0000    0.8676    0.2749   0.2527 PASS
6    reorient   reorient_first    0.0000    0.0000    0.8665    0.2749   0.5500 PASS
6    translate  reorient_first    0.0000    0.0000    0.8856    0.2781   0.5500 PASS
6    descend    reorient_first    0.0000    0.0000    0.9063    0.2935   0.2523 PASS
6    SUMMARY    reorient_first         -         -         -         -        - PASS
12   lift       reorient_first    0.0000    0.0000    0.9063    0.2935   0.2523 PASS
12   reorient   reorient_first    0.0000    0.0000    0.6500    0.2935   0.5500 PASS
12   translate  reorient_first    0.0000    0.0000    0.4969    0.2408   0.5500 PASS
12   descend    reorient_first    0.0000    0.0000    0.4969    0.2408   0.2527 PASS
12   SUMMARY    reorient_first         -         -         -         -        - PASS
11   lift       reorient_first    0.0000    0.0000    0.4969    0.2408   0.2527 PASS
11   reorient   reorient_first    0.0000    0.0000    0.4969    0.2408   0.5500 PASS
11   translate  reorient_first    0.0000    0.0000    0.5217    0.2465   0.5500 PASS
11   descend    reorient_first    0.0000    0.0000    0.5309    0.2555   0.2524 PASS
11   SUMMARY    reorient_first         -         -         -         -        - PASS
26   lift       reorient_first    0.0000    0.0000    0.5309    0.2555   0.2524 PASS
26   reorient   reorient_first    0.0000    0.0000    0.5309    0.2430   0.5500 PASS
26   translate  reorient_first    0.0000    0.0000    0.5715    0.2438   0.5500 PASS
26   descend    reorient_first    0.0000    0.0000    0.9447    0.2908   0.2599 PASS
26   SUMMARY    reorient_first         -         -         -         -        - PASS
16   lift       reorient_first    0.0000    0.0000    0.9447    0.2908   0.2599 PASS
16   reorient   reorient_first    0.0000    0.0000    0.7742    0.2359   0.5500 PASS
