elapsed_s,wall_time_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,tcp_vx_m_s,tcp_vy_m_s,tcp_vz_m_s,tcp_wx_rad_s,tcp_wy_rad_s,tcp_wz_rad_s
0.019759519,1789525718.396173239,-0.115153138,-1.721710507,-1.613320653,-4.452866737,4.744623661,-3.169617001,0.521439322,-0.226073643,0.523815582,-2.109728309,2.297130770,-0.107376123,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.027814195,1789525718.404227495,-0.115165059,-1.721698109,-1.613356892,-4.452878420,4.744635582,-3.169581000,0.521422920,-0.226079403,0.523807280,-2.109695460,2.297205081,-0.107347226,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.035818480,1789525718.412231922,-0.115165059,-1.721698109,-1.613296811,-4.452866737,4.744599819,-3.169604842,0.521436976,-0.226077675,0.523833022,-2.109672298,2.297124712,-0.107393012,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.043746185,1789525718.420159817,-0.115141217,-1.721686665,-1.613320653,-4.452830736,4.744647503,-3.169592921,0.521435964,-0.226068914,0.523824676,-2.109694949,2.297126565,-0.107469654,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.051735651,1789525718.428148985,-0.115189377,-1.721674744,-1.613332574,-4.452866737,4.744611740,-3.169592921,0.521414717,-0.226089538,0.523829622,-2.109642407,2.297176164,-0.107391489,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.059786454,1789525718.436199903,-0.115189377,-1.721698109,-1.613284890,-4.452866737,4.744635582,-3.169569079,0.521433587,-0.226093910,0.523838498,-2.109613230,2.297202080,-0.107444045,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.067774434,1789525718.444187880,-0.115225140,-1.721674744,-1.613308732,-4.452878420,4.744635582,-3.169581000,0.521410194,-0.226110803,0.523841724,-2.109592957,2.297234450,-0.107430916,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.075794131,1789525718.452207804,-0.115189377,-1.721674744,-1.613332574,-4.452866737,4.744659424,-3.169569079,0.521414217,-0.226093902,0.523829750,-2.109635841,2.297227651,-0.107441038,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.083731868,1789525718.460144997,-0.115189377,-1.721674744,-1.613320653,-4.452854816,4.744611740,-3.169592921,0.521418382,-0.226089949,0.523833698,-2.109630737,2.297164354,-0.107419015,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.091880269,1789525718.468294859,-0.115189377,-1.721662823,-1.613320653,-4.452854816,4.744587898,-3.169556920,0.521413948,-0.226087223,0.523840118,-2.109572088,2.297182055,-0.107407207,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.099866146,1789525718.476280689,-0.115201298,-1.721710507,-1.613320653,-4.452842895,4.744575977,-3.169569079,0.521431294,-0.226094650,0.523812847,-2.109584892,2.297193417,-0.107353696,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.107840973,1789525718.484255552,-0.115165059,-1.721686665,-1.613332574,-4.452866737,4.744647503,-3.169569079,0.521424525,-0.226080674,0.523823234,-2.109663669,2.297200569,-0.107414322,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.115832451,1789525718.492247105,-0.115165059,-1.721698109,-1.613332574,-4.452866737,4.744599819,-3.169544999,0.521429521,-0.226076830,0.523816882,-2.109619655,2.297204109,-0.107350688,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.123842740,1789525718.500257492,-0.115165059,-1.721710507,-1.613284890,-4.452890340,4.744611740,-3.169569079,0.521441870,-0.226079356,0.523834273,-2.109647531,2.297180161,-0.107377030,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.131888243,1789525718.508302927,-0.115176980,-1.721710507,-1.613320653,-4.452866737,4.744671822,-3.169628922,0.521433427,-0.226090483,0.523815711,-2.109737016,2.297171438,-0.107427208,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.139946265,1789525718.516360998,-0.115201298,-1.721686665,-1.613344494,-4.452866737,4.744611740,-3.169604842,0.521414221,-0.226096015,0.523817758,-2.109654565,2.297188588,-0.107364341,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.147947931,1789525718.524362564,-0.115141217,-1.721662823,-1.613308732,-4.452842895,4.744587898,-3.169569079,0.521428501,-0.226062522,0.523844195,-2.109628876,2.297105721,-0.107434103,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.155894794,1789525718.532309532,-0.115165059,-1.721686665,-1.613344494,-4.452866737,4.744611740,-3.169604842,0.521422414,-0.226077119,0.523817758,-2.109695360,2.297149458,-0.107363710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.163879153,1789525718.540293932,-0.115189377,-1.721722428,-1.613308732,-4.452902261,4.744623661,-3.169628922,0.521434781,-0.226092978,0.523818364,-2.109718884,2.297175157,-0.107335896,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.171826838,1789525718.548241377,-0.115165059,-1.721698109,-1.613308732,-4.452866737,4.744599819,-3.169581000,0.521434491,-0.226077393,0.523827642,-2.109650189,2.297155188,-0.107378836,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.179839758,1789525718.556254387,-0.115176980,-1.721662823,-1.613344494,-4.452878420,4.744611740,-3.169604842,0.521409195,-0.226082122,0.523832004,-2.109676089,2.297156283,-0.107378031,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.187891350,1789525718.564306498,-0.115176980,-1.721662823,-1.613320653,-4.452890340,4.744623661,-3.169592921,0.521412859,-0.226083646,0.523844100,-2.109661674,2.297169340,-0.107404069,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.195894816,1789525718.572309494,-0.115165059,-1.721698109,-1.613320653,-4.452854816,4.744635582,-3.169581000,0.521432811,-0.226080515,0.523821054,-2.109666183,2.297175421,-0.107416314,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.203827903,1789525718.580242395,-0.115165059,-1.721674744,-1.613284890,-4.452890340,4.744623661,-3.169604842,0.521427693,-0.226078818,0.523853757,-2.109677389,2.297132335,-0.107431549,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.211834505,1789525718.588249207,-0.115201298,-1.721698109,-1.613344494,-4.452890340,4.744575977,-3.169604842,0.521416756,-0.226093007,0.523814020,-2.109655682,2.297185719,-0.107286362,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.219825620,1789525718.596240282,-0.115141217,-1.721674744,-1.613356892,-4.452890340,4.744623661,-3.169592921,0.521418074,-0.226064687,0.523821261,-2.109725419,2.297154634,-0.107347814,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.227855662,1789525718.604270220,-0.115176980,-1.721674744,-1.613320653,-4.452890340,4.744599819,-3.169652764,0.521417793,-0.226082007,0.523837552,-2.109726887,2.297100148,-0.107366328,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.235865196,1789525718.612279892,-0.115176980,-1.721698109,-1.613332574,-4.452842895,4.744611740,-3.169604842,0.521429061,-0.226084396,0.523814306,-2.109669982,2.297150304,-0.107391961,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.243897817,1789525718.620312214,-0.115176980,-1.721698109,-1.613332574,-4.452866737,4.744587898,-3.169628922,0.521426950,-0.226081955,0.523816850,-2.109699207,2.297123813,-0.107339867,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.251822611,1789525718.628237009,-0.115176980,-1.721710507,-1.613284890,-4.452866737,4.744635582,-3.169592921,0.521441262,-0.226088010,0.523831755,-2.109661142,2.297170284,-0.107429891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.259843407,1789525718.636258125,-0.115176980,-1.721698109,-1.613344494,-4.452866737,4.744635582,-3.169604842,0.521423966,-0.226086038,0.523811598,-2.109698185,2.297181468,-0.107375650,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.267858749,1789525718.644273520,-0.115201298,-1.721686665,-1.613308732,-4.452854816,4.744635582,-3.169581000,0.521422606,-0.226099171,0.523832658,-2.109614007,2.297202956,-0.107443955,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.275831000,1789525718.652245998,-0.115165059,-1.721686665,-1.613320653,-4.452902261,4.744659424,-3.169592921,0.521423368,-0.226081661,0.523832532,-2.109708553,2.297194373,-0.107399966,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.283844333,1789525718.660258770,-0.115189377,-1.721650902,-1.613320653,-4.452878420,4.744611740,-3.169592921,0.521406677,-0.226088606,0.523849248,-2.109630735,2.297164196,-0.107419362,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.291893562,1789525718.668308258,-0.115153138,-1.721698109,-1.613332574,-4.452878420,4.744599819,-3.169617001,0.521431059,-0.226070488,0.523818160,-2.109723155,2.297122851,-0.107338244,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.299855724,1789525718.676270247,-0.115141217,-1.721662823,-1.613296811,-4.452878420,4.744635582,-3.169592921,0.521426969,-0.226066782,0.523853588,-2.109689781,2.297119726,-0.107457224,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.307840787,1789525718.684255123,-0.115165059,-1.721686665,-1.613308732,-4.452866737,4.744599819,-3.169617001,0.521429994,-0.226076872,0.523833867,-2.109686802,2.297112438,-0.107392713,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.315829330,1789525718.692244053,-0.115165059,-1.721710507,-1.613320653,-4.452890340,4.744623661,-3.169569079,0.521434291,-0.226079602,0.523818164,-2.109670334,2.297204658,-0.107348240,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.323810973,1789525718.700225592,-0.115165059,-1.721686665,-1.613308732,-4.452854816,4.744611740,-3.169592921,0.521431049,-0.226078093,0.523832595,-2.109658084,2.297138083,-0.107418550,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.331886018,1789525718.708300591,-0.115189377,-1.721698109,-1.613344494,-4.452854816,4.744599819,-3.169581000,0.521422718,-0.226089359,0.523810198,-2.109634424,2.297193322,-0.107351744,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.339877119,1789525718.716291904,-0.115176980,-1.721698109,-1.613356892,-4.452854816,4.744635582,-3.169581000,0.521422561,-0.226085875,0.523804698,-2.109670458,2.297206293,-0.107374690,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.347889247,1789525718.724303961,-0.115153138,-1.721686665,-1.613320653,-4.452854816,4.744659424,-3.169581000,0.521430760,-0.226075960,0.523827342,-2.109684723,2.297170342,-0.107454339,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.355819109,1789525718.732233763,-0.115165059,-1.721722428,-1.613284890,-4.452830736,4.744599819,-3.169604842,0.521452580,-0.226079455,0.523821237,-2.109660629,2.297113061,-0.107420189,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.363809976,1789525718.740224600,-0.115176980,-1.721698109,-1.613308732,-4.452890340,4.744659424,-3.169581000,0.521428834,-0.226088809,0.523830384,-2.109675058,2.297213385,-0.107414243,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.371819362,1789525718.748234510,-0.115176980,-1.721686665,-1.613284890,-4.452854816,4.744623661,-3.169581000,0.521433199,-0.226085963,0.523843387,-2.109624400,2.297158122,-0.107458561,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.379806455,1789525718.756221533,-0.115165059,-1.721686665,-1.613296811,-4.452842895,4.744599819,-3.169592921,0.521434839,-0.226077412,0.523836639,-2.109641073,2.297119539,-0.107433584,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.387877551,1789525718.764292240,-0.115153138,-1.721686665,-1.613296811,-4.452902261,4.744635582,-3.169592921,0.521431282,-0.226073825,0.523843229,-2.109699648,2.297156192,-0.107402297,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.395747052,1789525718.772160769,-0.115176980,-1.721686665,-1.613308732,-4.452854816,4.744635582,-3.169604842,0.521428104,-0.226086491,0.523832658,-2.109669312,2.297152144,-0.107443947,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.404097719,1789525718.780511856,-0.115176980,-1.721698109,-1.613368813,-4.452830736,4.744623661,-3.169617001,0.521422585,-0.226084764,0.523796652,-2.109701295,2.297156508,-0.107376872,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.411750852,1789525718.788164616,-0.115153138,-1.721686665,-1.613308732,-4.452830736,4.744635582,-3.169581000,0.521435879,-0.226074320,0.523830024,-2.109656403,2.297139060,-0.107470922,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.419708588,1789525718.796122313,-0.115153138,-1.721686665,-1.613320653,-4.452818815,4.744623661,-3.169604842,0.521434699,-0.226073077,0.523823308,-2.109678963,2.297107805,-0.107458852,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.427705942,1789525718.804119349,-0.115165059,-1.721662823,-1.613344494,-4.452842895,4.744587898,-3.169581000,0.521415656,-0.226074110,0.523828054,-2.109633464,2.297136952,-0.107393448,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.435734111,1789525718.812147379,-0.115153138,-1.721662823,-1.613320653,-4.452842895,4.744623661,-3.169617001,0.521422946,-0.226071730,0.523838910,-2.109693438,2.297095359,-0.107458861,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.443780555,1789525718.820194006,-0.115201298,-1.721662823,-1.613320653,-4.452866737,4.744623661,-3.169617001,0.521409698,-0.226096583,0.523841518,-2.109650925,2.297159138,-0.107432169,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.451740904,1789525718.828154802,-0.115189377,-1.721698109,-1.613308732,-4.452890340,4.744635582,-3.169592921,0.521426281,-0.226093091,0.523830320,-2.109664385,2.297201028,-0.107389683,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.459805205,1789525718.836219311,-0.115153138,-1.721686665,-1.613344494,-4.452866737,4.744623661,-3.169569079,0.521424984,-0.226071994,0.523817790,-2.109672226,2.297180153,-0.107375372,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.467799493,1789525718.844213963,-0.115201298,-1.721686665,-1.613356892,-4.452878420,4.744635582,-3.169569079,0.521410230,-0.226097777,0.523813505,-2.109635138,2.297250816,-0.107360899,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.475815321,1789525718.852230310,-0.115176980,-1.721686665,-1.613308732,-4.452842895,4.744611740,-3.169617001,0.521429534,-0.226084438,0.523831291,-2.109667025,2.297120266,-0.107432943,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.483809272,1789525718.860224485,-0.115189377,-1.721722428,-1.613320653,-4.452842895,4.744611740,-3.169592921,0.521438298,-0.226092250,0.523806458,-2.109648057,2.297182100,-0.107377574,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.491864868,1789525718.868279457,-0.115201298,-1.721662823,-1.613308732,-4.452866737,4.744599819,-3.169592921,0.521412432,-0.226094682,0.523846834,-2.109606214,2.297164550,-0.107420528,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.499795849,1789525718.876210451,-0.115165059,-1.721710507,-1.613332574,-4.452878420,4.744647503,-3.169569079,0.521432736,-0.226081633,0.523811544,-2.109680987,2.297218157,-0.107373228,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.507791173,1789525718.884206057,-0.115201298,-1.721722428,-1.613296811,-4.452878420,4.744587898,-3.169604842,0.521437306,-0.226096461,0.523821041,-2.109643711,2.297174933,-0.107339506,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.515783729,1789525718.892198324,-0.115176980,-1.721662823,-1.613296811,-4.452878420,4.744635582,-3.169604842,0.521418884,-0.226085430,0.523853588,-2.109663489,2.297146064,-0.107458055,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.523782413,1789525718.900197029,-0.115176980,-1.721674744,-1.613296811,-4.452854816,4.744623661,-3.169617001,0.521426030,-0.226085138,0.523844491,-2.109666602,2.297121057,-0.107459230,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.531835609,1789525718.908250093,-0.115176980,-1.721710507,-1.613320653,-4.452854816,4.744647503,-3.169604842,0.521434862,-0.226088386,0.523814342,-2.109692060,2.297176615,-0.107415074,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.539891434,1789525718.916306257,-0.115153138,-1.721662823,-1.613320653,-4.452878420,4.744587898,-3.169617001,0.521419804,-0.226068071,0.523842700,-2.109694848,2.297092708,-0.107380367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.547870803,1789525718.924285412,-0.115176980,-1.721674744,-1.613296811,-4.452854816,4.744575977,-3.169604842,0.521426530,-0.226080774,0.523844363,-2.109630994,2.297106647,-0.107409055,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.555835272,1789525718.932249784,-0.115176980,-1.721686665,-1.613308732,-4.452854816,4.744635582,-3.169581000,0.521428104,-0.226086491,0.523832658,-2.109641382,2.297176698,-0.107443532,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.563803384,1789525718.940217972,-0.115165059,-1.721698109,-1.613344494,-4.452854816,4.744623661,-3.169628922,0.521427966,-0.226078861,0.523810262,-2.109728622,2.297131174,-0.107377136,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.571780091,1789525718.948194504,-0.115153138,-1.721686665,-1.613344494,-4.452830736,4.744587898,-3.169581000,0.521428923,-0.226069112,0.523813756,-2.109652501,2.297129892,-0.107379678,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.579805813,1789525718.956220388,-0.115165059,-1.721686665,-1.613332574,-4.452890340,4.744635582,-3.169604842,0.521422313,-0.226079326,0.523825784,-2.109711806,2.297168662,-0.107375196,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.587891717,1789525718.964306355,-0.115165059,-1.721698109,-1.613332574,-4.452866737,4.744635582,-3.169628922,0.521429146,-0.226080104,0.523816978,-2.109733993,2.297137874,-0.107389622,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.595869329,1789525718.972283840,-0.115153138,-1.721698109,-1.613356892,-4.452854816,4.744623661,-3.169604842,0.521428076,-0.226072352,0.523804666,-2.109719885,2.297149261,-0.107362199,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.603796503,1789525718.980211020,-0.115201298,-1.721698109,-1.613272969,-4.452830736,4.744611740,-3.169581000,0.521437191,-0.226098617,0.523839877,-2.109579608,2.297165502,-0.107474811,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.611817371,1789525718.988231897,-0.115189377,-1.721698109,-1.613296811,-4.452866737,4.744635582,-3.169569079,0.521431103,-0.226093629,0.523833118,-2.109619051,2.297208002,-0.107430285,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.619778718,1789525718.996193171,-0.115176980,-1.721686665,-1.613332574,-4.452854816,4.744635582,-3.169581000,0.521423134,-0.226085928,0.523821898,-2.109653023,2.297188541,-0.107416011,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.627795020,1789525719.004209757,-0.115176980,-1.721698109,-1.613332574,-4.452854816,4.744599819,-3.169604842,0.521428006,-0.226083176,0.523815578,-2.109670490,2.297149459,-0.107365704,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
