elapsed_s,wall_time_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,tcp_vx_m_s,tcp_vy_m_s,tcp_vz_m_s,tcp_wx_rad_s,tcp_wy_rad_s,tcp_wz_rad_s
0.474009928,1789527655.189989090,-0.070228879,-1.773716275,-1.572153393,-4.538506929,4.841930389,-3.228395526,0.551464673,-0.212859984,0.523807765,2.161567681,-2.114976096,0.089237401,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.481971998,1789527655.197950602,-0.070205037,-1.773716275,-1.572141472,-4.538542692,4.841906548,-3.228419367,0.551469177,-0.212844627,0.523816982,2.161622365,-2.114926077,0.089186581,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012755,-0.000000007
0.489947923,1789527655.205926418,-0.070228879,-1.773692433,-1.572117631,-4.538506929,4.841882229,-3.228455369,0.551462828,-0.212855423,0.523836449,2.161678315,-2.114967297,0.089255246,0.000002603,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.497982676,1789527655.213960886,-0.070205037,-1.773692433,-1.572117631,-4.538518850,4.841930389,-3.228407447,0.551466579,-0.212846604,0.523838420,2.161623488,-2.114961402,0.089294161,0.000002603,-0.000000178,0.000005638,-0.000000856,-0.000012755,-0.000000007
0.506022626,1789527655.222000837,-0.070216958,-1.773728196,-1.572129552,-4.538494770,4.841870308,-3.228443448,0.551478183,-0.212848659,0.523809407,2.161672072,-2.114956872,0.089204303,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.513996257,1789527655.229974747,-0.070180718,-1.773704354,-1.572117631,-4.538518850,4.841882229,-3.228431288,0.551476736,-0.212829130,0.523831126,2.161696337,-2.114930721,0.089233797,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.521950773,1789527655.237929106,-0.070228879,-1.773728196,-1.572129552,-4.538482849,4.841894627,-3.228419367,0.551476551,-0.212857519,0.523808277,2.161625342,-2.114988214,0.089242751,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.529956071,1789527655.245934248,-0.070180718,-1.773704354,-1.572129552,-4.538506929,4.841906548,-3.228431288,0.551475214,-0.212831249,0.523824738,2.161683005,-2.114916969,0.089257259,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.538139082,1789527655.254117489,-0.070228879,-1.773739640,-1.572117631,-4.538554851,4.841918468,-3.228419367,0.551477043,-0.212859778,0.523815874,2.161585888,-2.114938837,0.089182259,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.545934203,1789527655.261912584,-0.070193116,-1.773716275,-1.572117631,-4.538518850,4.841858387,-3.228431288,0.551478939,-0.212834123,0.523824114,2.161691601,-2.114951473,0.089195751,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.554022365,1789527655.270000696,-0.070193116,-1.773739640,-1.572117631,-4.538518850,4.841930389,-3.228395526,0.551487743,-0.212841344,0.523811747,2.161606425,-2.114938386,0.089241053,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.562000740,1789527655.277979136,-0.070180718,-1.773704354,-1.572105710,-4.538506929,4.841882229,-3.228431288,0.551480210,-0.212829362,0.523834971,2.161705182,-2.114942659,0.089261613,0.000002603,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.569942353,1789527655.285921097,-0.070193116,-1.773704354,-1.572117631,-4.538554851,4.841894627,-3.228431288,0.551470869,-0.212836897,0.523835534,2.161662905,-2.114918797,0.089202652,0.000002603,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.577946800,1789527655.293925047,-0.070193116,-1.773704354,-1.572117631,-4.538482849,4.841894627,-3.228419367,0.551477184,-0.212837298,0.523827005,2.161677136,-2.114968039,0.089287721,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.585994472,1789527655.301972628,-0.070228879,-1.773704354,-1.572117631,-4.538518850,4.841870308,-3.228431288,0.551466554,-0.212854601,0.523830988,2.161651002,-2.114988624,0.089218026,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.593973736,1789527655.309952259,-0.070193116,-1.773704354,-1.572117631,-4.538506929,4.841858387,-3.228443448,0.551475280,-0.212833857,0.523829437,2.161713057,-2.114950009,0.089222528,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.601986690,1789527655.317965031,-0.070180718,-1.773704354,-1.572093312,-4.538530771,4.841906548,-3.228455369,0.551480504,-0.212831621,0.523843545,2.161712689,-2.114896628,0.089269583,0.000002603,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.610043509,1789527655.326021910,-0.070216958,-1.773704354,-1.572129552,-4.538542692,4.841870308,-3.228443448,0.551464573,-0.212847728,0.523828554,2.161663212,-2.114944674,0.089176279,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.618003450,1789527655.333981752,-0.070193116,-1.773680035,-1.572141472,-4.538530771,4.841870308,-3.228431288,0.551458670,-0.212833804,0.523835625,2.161685252,-2.114944838,0.089207922,0.000002603,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.625995312,1789527655.341973543,-0.070228879,-1.773716275,-1.572141472,-4.538542692,4.841894627,-3.228431288,0.551464171,-0.212856687,0.523816843,2.161615591,-2.114945044,0.089171908,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.633958787,1789527655.349937201,-0.070216958,-1.773728196,-1.572153393,-4.538542692,4.841894627,-3.228419367,0.551468984,-0.212850279,0.523804851,2.161607185,-2.114933612,0.089146171,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.641984607,1789527655.357963085,-0.070193116,-1.773751561,-1.572093312,-4.538482849,4.841870308,-3.228419367,0.551500903,-0.212836732,0.523810776,2.161681967,-2.114970503,0.089237407,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.649940043,1789527655.365918159,-0.070228879,-1.773739640,-1.572117631,-4.538518850,4.841894627,-3.228455369,0.551480337,-0.212857803,0.523811333,2.161649607,-2.114930827,0.089198071,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012754,-0.000000007
0.658086322,1789527655.374064684,-0.070193116,-1.773704354,-1.572081391,-4.538506929,4.841882229,-3.228407447,0.551482524,-0.212836537,0.523845697,2.161676134,-2.114994191,0.089290998,0.000002603,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.665999989,1789527655.381978273,-0.070205037,-1.773728196,-1.572141472,-4.538542692,4.841846466,-3.228443448,0.551474227,-0.212839476,0.523809550,2.161675793,-2.114927718,0.089112538,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012755,-0.000000007
0.674010123,1789527655.389988661,-0.070205037,-1.773739640,-1.572117631,-4.538530771,4.841894627,-3.228443448,0.551484366,-0.212844588,0.523812745,2.161658495,-2.114912632,0.089187334,0.000002604,-0.000000178,0.000005638,-0.000000856,-0.000012755,-0.000000007
0.681976953,1789527655.397955418,-0.070168797,-1.773716275,-1.572129552,-4.538494770,4.841906548,-3.228419367,0.551483521,-0.212825075,0.523816563,2.161683532,-2.114917594,0.089259616,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
0.689938501,1789527655.405917406,-0.070180718,-1.773716275,-1.572129552,-4.538530771,4.841858387,-3.228443448,0.551478104,-0.212827053,0.523820269,2.161708729,-2.114912997,0.089167956,0.000002604,-0.000000178,0.000005638,-0.000000855,-0.000012755,-0.000000007
