group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789523830.265412331,2.91791,6.605518,56.838635,2.250536,2.313795,0.303354
1,1,1789523830.267921209,3.035297,6.55652,56.943071,2.249174,2.319652,0.305765
1,1,1789523830.268877029,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.270572662,2.861875,6.508561,56.774175,2.252942,2.311154,0.310003
1,1,1789523830.271976233,2.97339,6.558856,57.010709,2.245145,2.311344,0.300391
1,1,1789523830.273702860,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.274352074,2.966642,6.507863,56.840719,2.247559,2.316171,0.305585
1,1,1789523830.276990891,2.985545,6.568625,56.903754,2.252475,2.318045,0.297972
1,1,1789523830.278974056,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.279653549,3.027574,6.535952,57.06196,2.251305,2.317314,0.298154
1,1,1789523830.282197475,2.921625,6.636706,56.948036,2.243501,2.315893,0.302069
1,1,1789523830.283908129,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.284880400,3.028422,6.57339,56.802935,2.250552,2.320342,0.305339
1,1,1789523830.287214279,2.924437,6.607674,57.08215,2.248949,2.314908,0.304569
1,1,1789523830.290571213,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.291468859,2.905198,6.565538,56.864129,2.252576,2.319129,0.302547
1,1,1789523830.292354822,2.893115,6.547648,56.94331,2.250236,2.315737,0.305396
1,1,1789523830.293732405,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.294423580,2.882382,6.500223,56.888042,2.254331,2.316751,0.312134
1,1,1789523830.297122002,2.904724,6.495103,56.878385,2.250276,2.311479,0.311414
1,1,1789523830.299083948,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.299721956,3.022658,6.491753,57.080479,2.250611,2.316179,0.304292
1,1,1789523830.302095652,2.964496,6.517422,56.938037,2.246806,2.313088,0.301919
1,1,1789523830.303840399,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.304745674,2.972333,6.56828,56.970002,2.25314,2.318703,0.298766
1,1,1789523830.307079077,2.98322,6.527531,56.941324,2.249254,2.314274,0.304128
1,1,1789523830.308873653,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.310268879,2.940272,6.591317,56.917871,2.248545,2.31167,0.300302
1,1,1789523830.312186956,3.030629,6.63058,56.916938,2.241856,2.317152,0.29419
1,1,1789523830.313871622,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.314764500,2.865367,6.559212,56.886054,2.249888,2.310433,0.309862
1,1,1789523830.317055941,2.9711,6.590986,56.915549,2.248483,2.31429,0.299107
1,1,1789523830.318869591,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.320159674,2.965334,6.525355,57.106652,2.245361,2.312487,0.302593
1,1,1789523830.322811365,2.929666,6.525949,56.933867,2.249011,2.314577,0.305337
1,1,1789523830.325362682,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.326136112,2.988136,6.549499,56.936068,2.24782,2.315255,0.300711
1,1,1789523830.328860998,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.330113173,2.996874,6.608825,56.882144,2.244637,2.31496,0.301653
1,1,1789523830.333792210,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.334485292,2.898045,6.565581,56.924495,2.246107,2.312665,0.304882
1,1,1789523830.338743210,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.339327812,2.876448,6.519839,56.824955,2.248322,2.312086,0.312917
1,1,1789523830.343973875,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.344600916,2.961857,6.541797,56.936612,2.250274,2.316557,0.307278
1,1,1789523830.348764896,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.349416256,3.022208,6.633371,56.938383,2.242888,2.317099,0.302085
1,1,1789523830.353796244,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.354512215,2.900638,6.614815,56.837273,2.245947,2.313647,0.30245
1,1,1789523830.358724594,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.359539509,2.890979,6.540255,56.761476,2.244896,2.31177,0.307825
1,1,1789523830.363870382,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.365040302,2.884631,6.5241,56.919366,2.25035,2.313748,0.307881
1,1,1789523830.368807316,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
