group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789523726.199298143,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.199968815,3.017255,6.509691,56.975604,2.251688,2.316655,0.302567
1,1,1789523726.200718164,2.869451,6.557005,56.801365,2.251799,2.315174,0.30367
1,1,1789523726.204312801,2.917922,6.527764,56.80643,2.247803,2.318531,0.307611
1,1,1789523726.204931259,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.205815077,2.777451,6.522064,56.793291,2.254717,2.309369,0.30997
1,1,1789523726.209157944,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.209641457,2.817979,6.561213,56.773291,2.251014,2.310973,0.309118
1,1,1789523726.210961342,2.796224,6.489517,56.982615,2.256832,2.311351,0.312487
1,1,1789523726.214134216,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.214880705,2.831074,6.514866,56.946921,2.25092,2.315395,0.30175
1,1,1789523726.215885401,2.974308,6.513485,56.903753,2.252833,2.323256,0.317081
1,1,1789523726.219103813,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.219837666,2.910917,6.517426,56.886441,2.250472,2.313734,0.304655
1,1,1789523726.220909357,3.10561,6.503603,56.727096,2.255872,2.321558,0.317069
1,1,1789523726.224247694,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.225385189,3.015082,6.457671,56.70429,2.254707,2.318436,0.308077
1,1,1789523726.226162434,3.090082,6.558589,56.763168,2.254283,2.321349,0.303856
1,1,1789523726.229966879,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.230560064,3.056567,6.564018,56.627845,2.245764,2.320481,0.306584
1,1,1789523726.231052637,2.971888,6.582135,56.95471,2.2567,2.320541,0.294931
1,1,1789523726.234171152,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.235034943,2.963528,6.608464,56.905282,2.250825,2.314757,0.304478
1,1,1789523726.235883474,2.859709,6.60495,56.717099,2.250668,2.316984,0.303273
1,1,1789523726.238986969,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.239581585,2.883796,6.637142,56.72799,2.249725,2.317991,0.310369
1,1,1789523726.240678549,2.823432,6.542866,56.78889,2.252849,2.312173,0.307363
1,1,1789523726.243870974,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.244352818,2.791518,6.570496,56.818112,2.249647,2.308033,0.313711
1,1,1789523726.245386839,2.871191,6.469201,57.02068,2.252336,2.313365,0.313506
1,1,1789523726.248861790,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.249275446,2.83902,6.506187,56.953986,2.250346,2.308018,0.305601
1,1,1789523726.250209093,2.925934,6.416521,56.881444,2.255555,2.318833,0.314599
1,1,1789523726.253844023,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.254165649,2.868689,6.437034,56.849113,2.256432,2.305208,0.310007
1,1,1789523726.255198240,2.978777,6.468922,56.87225,2.25018,2.314276,0.307919
1,1,1789523726.258811712,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.259121656,2.988977,6.529442,56.820881,2.239567,2.309692,0.316234
1,1,1789523726.260335684,2.97809,6.546534,56.971011,2.247446,2.313104,0.298999
1,1,1789523726.263781786,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.264093637,3.011892,6.593879,56.921642,2.240673,2.308531,0.308656
1,1,1789523726.265232086,2.936161,6.658896,56.803591,2.243644,2.309476,0.298035
1,1,1789523726.268906593,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.269587278,2.969907,6.654028,56.83736,2.241839,2.31035,0.302044
1,1,1789523726.270334959,2.952988,6.699649,56.642826,2.241334,2.316751,0.303053
1,1,1789523726.273806572,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.274247885,2.926282,6.594303,56.677459,2.245069,2.305901,0.306713
1,1,1789523726.275220633,2.89601,6.59274,56.653618,2.243799,2.304377,0.309203
1,1,1789523726.278769970,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.279589415,2.88082,6.567273,56.705555,2.248758,2.309733,0.30732
1,1,1789523726.280198574,2.880703,6.460778,56.882207,2.248237,2.304755,0.307267
1,1,1789523726.283778191,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.284076691,2.85871,6.531054,56.916194,2.248934,2.307167,0.305029
1,1,1789523726.285220146,2.890957,6.4344,56.660403,2.244367,2.30489,0.320607
1,1,1789523726.288834095,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.289452076,2.873444,6.516402,56.720279,2.25212,2.309218,0.311022
1,1,1789523726.290314913,2.880494,6.550081,56.798436,2.238962,2.301479,0.312611
1,1,1789523726.293843985,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.294141293,2.947618,6.536956,56.79814,2.246977,2.318019,0.308203
1,1,1789523726.295351267,2.913977,6.557604,56.940446,2.248789,2.310287,0.302896
1,1,1789523726.298773289,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.299235106,2.982305,6.516346,56.929808,2.246415,2.315772,0.309031
1,1,1789523726.300229788,2.960663,6.690021,56.796658,2.236861,2.308657,0.305527
1,1,1789523726.303806782,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.304213762,3.049794,6.555618,56.830752,2.252055,2.322493,0.299529
1,1,1789523726.305841684,2.987905,6.557317,56.775679,2.249608,2.314673,0.305193
1,1,1789523726.308891058,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.309426785,2.953264,6.507562,56.834418,2.256959,2.315215,0.29513
1,1,1789523726.313866377,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
1,1,1789523726.314695120,2.990336,6.555723,57.025889,2.252526,2.325899,0.293629
1,1,1789523726.318913221,2.935744,6.579581,56.87523,2.256054,2.322762,0.310113
