group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789524052.429493427,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.431702614,2.921324,6.622261,56.958993,2.242846,2.315736,0.303219
1,1,1789524052.433421373,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.434521675,3.099425,6.584126,57.336443,2.241933,2.318232,0.289107
1,1,1789524052.434874773,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.436698914,2.851918,6.566588,56.922025,2.252025,2.311089,0.309043
1,1,1789524052.438370228,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.439609528,2.968491,6.639729,57.104297,2.24413,2.318158,0.295022
1,1,1789524052.439966202,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.441703320,2.869672,6.59693,57.297369,2.24946,2.311772,0.298961
1,1,1789524052.443408012,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.444141388,2.848824,6.582203,57.128854,2.247892,2.313408,0.298532
1,1,1789524052.444669008,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.446697235,2.997049,6.555035,57.048912,2.249846,2.315715,0.307584
1,1,1789524052.448939085,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.449456215,3.01688,6.528366,57.076007,2.248229,2.316974,0.307375
1,1,1789524052.449891329,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.451606989,3.054487,6.533646,57.170455,2.245047,2.316877,0.30226
1,1,1789524052.453421116,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.454015017,3.062556,6.53895,57.36834,2.251308,2.320203,0.292009
1,1,1789524052.454703331,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.456692457,3.034254,6.566351,57.323551,2.244559,2.316224,0.292619
1,1,1789524052.458473682,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.458979845,2.997663,6.618197,56.993011,2.249368,2.316003,0.301152
1,1,1789524052.459484339,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.461592436,3.021934,6.60137,57.12012,2.244747,2.316089,0.293209
1,1,1789524052.463670969,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.464198112,2.955009,6.603964,57.304727,2.247854,2.320685,0.298747
1,1,1789524052.464717865,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.467187166,2.990611,6.647588,57.146559,2.242319,2.31508,0.2919
1,1,1789524052.468501568,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.469012976,3.014126,6.475728,57.032984,2.253512,2.321188,0.30425
1,1,1789524052.469532728,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.471605062,2.950813,6.599386,57.105594,2.248403,2.316401,0.29581
1,1,1789524052.473585844,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.474103212,2.993675,6.531374,57.320537,2.251256,2.318044,0.303072
1,1,1789524052.474570274,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.476631880,2.921836,6.562317,57.174313,2.251167,2.318019,0.298479
1,1,1789524052.478476763,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.478987932,2.966665,6.644744,56.996637,2.248754,2.31485,0.297153
1,1,1789524052.479496956,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.481639385,2.950537,6.533434,57.059571,2.248505,2.318146,0.302758
1,1,1789524052.483405590,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.483972073,3.015206,6.583964,57.346251,2.248877,2.318433,0.295372
1,1,1789524052.484998941,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.486639261,2.988727,6.511315,56.853562,2.246942,2.31712,0.308015
1,1,1789524052.489336491,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.489737511,2.968144,6.499026,57.011749,2.24896,2.31376,0.301601
1,1,1789524052.490039349,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.491847277,3.019289,6.548563,57.259938,2.251606,2.315648,0.293519
1,1,1789524052.493558645,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.495688200,2.898334,6.558873,57.290872,2.248226,2.315084,0.295329
1,1,1789524052.496195078,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.498788834,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.499558687,2.994911,6.574154,57.059916,2.250625,2.317047,0.302649
1,1,1789524052.500149012,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.503775835,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.504307747,3.110522,6.514004,57.333665,2.249019,2.320441,0.2939
1,1,1789524052.504832983,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.508403778,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.509557724,2.983263,6.585056,57.005653,2.249631,2.319914,0.297853
1,1,1789524052.509874344,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.513309956,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.514374971,2.872289,6.558492,57.209066,2.249568,2.315675,0.296611
1,1,1789524052.514809847,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.518455029,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.518978596,3.007136,6.501994,57.077805,2.250863,2.317923,0.314833
1,1,1789524052.519499302,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.523428202,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.523952723,3.116323,6.496424,57.369083,2.249897,2.320708,0.292843
1,1,1789524052.524474859,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.528469801,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.528969765,2.968918,6.633911,57.018117,2.250451,2.319953,0.299641
1,1,1789524052.529479504,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.533302307,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.533944607,2.880424,6.529785,57.060582,2.252757,2.314764,0.302939
1,1,1789524052.534622192,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.538829327,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.539261103,2.982764,6.510823,57.181016,2.255974,2.320127,0.309433
1,1,1789524052.539762735,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.543495178,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.544044256,3.078762,6.525501,57.115527,2.248702,2.318938,0.297001
1,1,1789524052.544686556,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.548442841,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.549276590,3.002251,6.620562,57.095448,2.250069,2.317024,0.295235
1,1,1789524052.549651861,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.553423166,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.554679871,2.935256,6.595116,57.273087,2.246382,2.312338,0.295421
1,1,1789524052.555067539,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.558533430,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.559505701,2.989376,6.521186,57.014985,2.244253,2.314346,0.30375
1,1,1789524052.560100079,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.563595533,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.564205170,3.006049,6.536599,57.351361,2.243947,2.322042,0.299435
1,1,1789524052.564739466,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.568732262,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.569777250,3.019771,6.655069,57.008605,2.241786,2.315513,0.292978
1,1,1789524052.570473194,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.573781729,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.574589014,2.974634,6.653974,57.344093,2.24475,2.31595,0.293337
1,1,1789524052.575279713,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.578725100,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.579770565,2.914654,6.522015,57.040009,2.244751,2.315104,0.307958
1,1,1789524052.580217361,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.583708048,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.584298611,2.943403,6.543018,57.318721,2.250007,2.314215,0.30137
1,1,1789524052.585011482,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.588714123,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.590517998,3.010311,6.577612,57.079037,2.247106,2.313568,0.30264
1,1,1789524052.590978146,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.593825817,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
