sample_index,wall_time_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1789438685.856017113,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.056322,1.355634,53.705946,1.339158,1.401974,3.60099
1,1789438685.861327648,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.095749,1.392602,53.904271,1.335884,1.399333,3.59637
1,1789438685.867003441,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.134685,1.354109,53.671972,1.339273,1.396762,3.602463
1,1789438685.871951818,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.149943,1.374504,53.655515,1.336213,1.394687,3.603558
1,1789438685.876822233,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.115908,1.356664,53.689795,1.338646,1.397068,3.601997
1,1789438685.881373644,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.043058,1.34197,53.713813,1.338494,1.401518,3.600094
1,1789438685.886579514,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.009518,1.374732,53.713098,1.335291,1.399603,3.599311
1,1789438685.891630173,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-3.998056,1.352058,53.672291,1.337342,1.401232,3.597243
1,1789438685.896331549,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.059168,1.390238,53.783903,1.334464,1.399251,3.596795
1,1789438685.901412964,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.113639,1.384489,53.661516,1.337021,1.39753,3.601684
1,1789438685.906412840,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.152292,1.372975,53.67186,1.339419,1.396579,3.602252
1,1789438685.911608219,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.113217,1.398041,53.869739,1.334425,1.397696,3.597915
1,1789438685.916399479,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.085897,1.357543,53.679456,1.338607,1.398226,3.60147
1,1789438685.921575069,0.53386547624,-0.269939267282,0.540026107979,-1.91338297713,2.21308432758,-0.249529854115,-4.013373,1.349013,53.595469,1.33698,1.402121,3.601865
