sample_index,wall_time_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1789436460.224665642,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.961607,23.515736,7.786765,-1.802807,0.391771,-3.132093
1,1789436460.229653835,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.964377,23.538025,7.703394,-1.810072,0.387983,-3.126216
1,1789436460.234808683,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.977812,23.537303,7.876192,-1.804949,0.38622,-3.135141
1,1789436460.239587784,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.945815,23.544954,7.708284,-1.806966,0.387111,-3.129296
1,1789436460.244815350,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.961192,23.533794,7.811526,-1.805957,0.3868,-3.13476
1,1789436460.249893904,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.904176,23.538815,7.907404,-1.803788,0.38733,-3.132942
1,1789436460.254825830,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.918616,23.512404,7.777404,-1.80119,0.387415,-3.132662
1,1789436460.260018110,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.955718,23.493521,7.773323,-1.805579,0.388438,-3.128938
1,1789436460.265056849,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.962594,23.520614,7.981107,-1.803361,0.388413,-3.133152
1,1789436460.269755840,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.973071,23.541204,7.808466,-1.804209,0.386666,-3.130749
1,1789436460.274653435,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.959873,23.553035,7.762956,-1.808429,0.386228,-3.130154
1,1789436460.279770136,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.930784,23.558359,7.715826,-1.808241,0.386155,-3.132645
1,1789436460.284801245,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.903054,23.519662,7.914827,-1.801966,0.3861,-3.134235
1,1789436460.289606094,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.933907,23.510981,7.684952,-1.804479,0.387824,-3.132172
1,1789436460.294727087,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.968988,23.509482,7.855533,-1.801355,0.389598,-3.136015
1,1789436460.299851894,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.926373,23.553865,7.880808,-1.80833,0.388469,-3.131952
1,1789436460.304701328,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.932943,23.519532,7.766672,-1.80267,0.387272,-3.133617
1,1789436460.309621572,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.933678,23.558093,7.85225,-1.809218,0.387751,-3.132461
1,1789436460.315050840,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.917521,23.553617,7.969937,-1.808974,0.384631,-3.134929
1,1789436460.319791794,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.965081,23.53305,7.914595,-1.799823,0.392789,-3.139767
1,1789436460.325244904,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.93301,23.540836,7.821627,-1.807356,0.38504,-3.134476
1,1789436460.329958916,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.924578,23.54843,7.579263,-1.809426,0.384663,-3.128776
1,1789436460.334960222,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.915504,23.508911,7.875133,-1.801254,0.389344,-3.135436
1,1789436460.339679718,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.979085,23.489944,7.652419,-1.805687,0.390169,-3.134765
1,1789436460.344707012,0.53419858436,-0.256727401004,0.557936252019,0.587020587754,1.04906316154,-0.246888761709,21.989615,23.528422,7.796223,-1.806773,0.392043,-3.131948
