sample_index,wall_time_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_rad,tcp_ry_rad,tcp_rz_rad,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1789437461.786362171,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.605181,8.82619,57.621893,2.17706,2.172653,0.065651
1,1789437461.791663408,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.554201,8.848359,57.465212,2.179921,2.166963,0.065769
1,1789437461.796709538,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.491271,8.833051,57.451155,2.181325,2.169329,0.069018
1,1789437461.801650763,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.49874,8.790541,57.614541,2.186794,2.170317,0.066625
1,1789437461.806434393,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.554041,8.796848,57.444449,2.181326,2.169235,0.070949
1,1789437461.811649323,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.599769,8.791928,57.306243,2.181767,2.170412,0.072012
1,1789437461.816507578,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.627364,8.805353,57.375741,2.180731,2.171616,0.068894
1,1789437461.821562290,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.635627,8.795387,57.561017,2.178864,2.171622,0.068472
1,1789437461.826812983,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.600972,8.802138,57.316799,2.180049,2.167421,0.072467
1,1789437461.833256721,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.536485,8.816177,57.420722,2.179213,2.167387,0.073388
1,1789437461.837894440,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.496245,8.835502,57.635019,2.182964,2.16496,0.067061
1,1789437461.844275713,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.526787,8.82708,57.406266,2.180132,2.166135,0.0698
1,1789437461.847573996,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.546904,8.780949,57.453251,2.182588,2.168133,0.070558
1,1789437461.852066755,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.645122,8.737102,57.550795,2.181068,2.172793,0.068288
1,1789437461.856987715,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.63713,8.792389,57.485311,2.183313,2.17085,0.067499
1,1789437461.861968040,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.602182,8.845173,57.333243,2.180407,2.173584,0.071513
1,1789437461.866588116,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.570182,8.864703,57.414976,2.178657,2.171528,0.069875
1,1789437461.871948242,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.483856,8.859384,57.536927,2.181608,2.167777,0.070032
1,1789437461.876609802,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.522757,8.830581,57.362134,2.182485,2.168231,0.071537
1,1789437461.881471395,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.516909,8.796532,57.467295,2.180419,2.164031,0.067039
1,1789437461.886382580,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.614235,8.770196,57.586248,2.178336,2.171063,0.066783
1,1789437461.891842127,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.646667,8.777421,57.42277,2.178743,2.167542,0.068966
1,1789437461.896488190,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.670649,8.793278,57.431436,2.178743,2.171202,0.068897
1,1789437461.901374817,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.595874,8.831789,57.419845,2.178816,2.169726,0.066968
1,1789437461.906355619,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.542186,8.825823,57.4845,2.179759,2.168564,0.066507
1,1789437461.911554337,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.433647,8.863069,57.514833,2.181463,2.165031,0.073466
1,1789437461.916421652,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.469872,8.83988,57.43352,2.1841,2.166846,0.069279
1,1789437461.921394110,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.570614,8.763327,57.552689,2.183757,2.171119,0.069099
1,1789437461.926687479,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.64771,8.730462,57.326737,2.184787,2.174557,0.074034
1,1789437461.931645155,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.649203,8.774201,57.390244,2.179318,2.171523,0.072487
1,1789437461.936594963,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.61222,8.780678,57.360723,2.181818,2.174015,0.071612
1,1789437461.941725492,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.634762,8.787138,57.429626,2.180302,2.172589,0.06785
1,1789437461.946542501,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.590075,8.828115,57.583954,2.180363,2.171514,0.064977
1,1789437461.953631163,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.578326,8.838183,57.415624,2.181251,2.169164,0.070143
1,1789437461.957870960,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.486334,8.873386,57.489598,2.179991,2.168078,0.069484
1,1789437461.963607788,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.48796,8.817514,57.6047,2.181301,2.169622,0.066122
1,1789437461.968297958,0.534158716465,-0.256736136472,0.558003648975,-2.49763059295,-1.8602827968,-0.022775353578,3.539929,8.776974,57.491158,2.183157,2.16866,0.071079
