unix_time_s,robotmode,safetystatus,program_state
1789615814.269389,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.3195684,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.369633,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.4195027,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.4698553,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.5197864,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.5699656,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.6200054,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.6701035,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.720218,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.7700784,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.8203673,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.8704224,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.9203856,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615814.9705276,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.0204194,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.0705285,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.120726,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.1708713,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.2206962,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.270987,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.3214004,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.3711245,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.4212778,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.471204,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.5213988,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.5712502,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.6213415,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.6714253,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.721923,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.7717853,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.8219824,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.8720565,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.9220037,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615815.9721873,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615816.0220728,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615816.0722668,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615816.1223686,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615816.1859825,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615816.2333467,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789615816.2830257,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
