unix_time_s,robotmode,safetystatus,program_state
1789371169.083224,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.131339,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.1818242,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.2320452,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.2816956,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.3318617,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.3821738,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.4323103,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.4824567,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.5324702,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.5827472,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.6328187,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.6828542,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.7330475,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.7830184,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.833214,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.8833816,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.9331431,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371169.9835763,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.0336392,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.0839527,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.1340706,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.184169,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.2342775,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.2844768,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.334565,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.3845124,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.4345713,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.484829,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.5349698,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.5851889,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.6350315,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.6853127,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.7354152,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.7854972,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.8357584,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.886444,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.9359205,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371170.9859889,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.0361078,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.0863087,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.1362903,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.1865752,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.236621,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.2867463,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.3366156,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.3866765,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.436876,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.487063,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.5372674,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.5874517,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.6374633,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.6876738,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.737862,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.787912,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.8381128,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.888285,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.9384446,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371171.9885545,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789371172.038614,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
