unix_time_s,robotmode,safetystatus,program_state
1789700443.7132804,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700443.763262,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700443.8133817,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700443.8636396,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700443.9137497,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700443.9646895,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.0140839,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.0640888,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.1143157,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.1646438,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.2144973,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.2647712,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.3148572,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.3649428,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.4147985,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.4646933,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.5151186,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.5653048,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.6153126,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.6654372,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.7156281,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.7657928,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.815928,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.866003,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.9160874,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700444.966335,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.0165503,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.0664663,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.1167374,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.1674597,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.2170627,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.267083,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.3173177,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.367486,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.4175766,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.4674954,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.5178263,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.5678573,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.6180634,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.6682093,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.7187958,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.7684755,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.818534,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.8684938,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.9191082,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700445.9690588,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.0191078,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.0690882,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.119234,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.169436,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.219614,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.2700047,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.3198783,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.3700337,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.420036,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.4706733,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.5204628,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.5706182,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.620635,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789700446.6712973,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
