unix_time_s,robotmode,safetystatus,program_state
1789442941.3122172,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.3576653,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.4077914,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.457861,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.5078592,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.5579896,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.6081483,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.6585765,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.7085335,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.7584946,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.8084922,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.8586156,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.909236,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442941.9588578,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.0088482,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.059008,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.1091955,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.1592543,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.2093897,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.2595057,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.3096254,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.3596466,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.4097688,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.4598053,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.5098832,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.5599864,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.6100743,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.6604106,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.7103863,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.7604446,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.8105783,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.8610082,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.9107618,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442942.9607112,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.0112722,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.0612853,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.111311,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.1613271,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.2115355,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.2617276,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.3118052,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.3621452,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.4122393,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.4622083,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.5123382,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.5621216,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.6128068,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.6625175,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.7124345,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.7628088,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.8131106,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.862982,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.913016,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442943.9630394,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442944.0132587,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442944.0635889,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442944.1134975,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442944.1638367,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442944.21376,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789442944.2638822,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
