unix_time_s,robotmode,safetystatus,program_state
1789616463.7502918,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616463.7915952,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616463.8420296,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616463.891625,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616463.9413056,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616463.9918208,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.04204,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.1029856,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.1558552,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.1920514,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.2422886,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.2925243,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.3425767,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.3925195,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.442644,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.5035014,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.556053,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.592678,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.6430247,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.6930172,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.7435384,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.7930925,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.8552601,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.9029918,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.9551632,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616464.9935887,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.0436451,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.093899,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.143836,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.1937954,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.2441616,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.3033583,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.355045,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.3941884,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.4442546,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.4945424,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.5440643,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.5939655,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.6446862,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.707834,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.7523484,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.794689,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.8447745,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.8950012,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.9447033,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616465.9950402,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.0537379,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.1079655,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.1576774,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.1950908,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.2456672,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.2956865,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.3454576,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.3958356,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.445888,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.5068953,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.5584862,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.5963197,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.6464868,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.6964478,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.7464466,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.7966208,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.8467746,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.8965893,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.9466827,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616466.9968836,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.047653,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.107097,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.157719,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.1970189,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.2473302,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.2972846,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.3473687,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.397478,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.4469652,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.4973922,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.547772,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.5979571,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.6480873,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.7113707,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.7527666,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.7982528,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.8483076,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.8981981,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.948424,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616467.9982357,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.0484512,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.0988626,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.1486964,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.1987398,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.2488427,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.310265,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.3618343,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.3990688,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.448757,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789616468.499399,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
