unix_time_s,robotmode,safetystatus,program_state
1789372656.4433324,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.491521,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.5421546,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.5920517,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.651666,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.7032943,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.7495024,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.7919693,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.842192,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.8924499,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.9423974,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372656.9927475,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.0563786,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.102879,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.1457114,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.1928272,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.243058,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.2935274,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.3431995,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.392924,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.4568892,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.5054317,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.5470073,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.5939085,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.6436975,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.6938155,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.743796,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.794046,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.8550565,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.9081554,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.950777,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372657.99453,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.0446887,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.0949287,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.1446097,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.194739,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.254852,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.306583,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.3501902,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.3950553,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.4453046,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.4952247,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.5452764,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.5953512,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.6543329,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.7058687,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.7475307,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.7956693,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.8461988,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.8957179,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.9458268,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372658.9958723,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372659.053269,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372659.105473,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372659.1585016,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372659.196175,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372659.2467115,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372659.2963128,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372659.3463671,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789372659.3965018,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
