unix_time_s,robotmode,safetystatus,program_state
1789697562.7148902,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697562.7642457,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697562.8143313,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697562.8645322,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697562.914622,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697562.964574,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.0145793,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.0646644,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.114718,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.1647813,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.2169805,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.2650084,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.3149962,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.3651712,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.4151738,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.4652264,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.5154061,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.5652487,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.615547,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.6655595,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.7156436,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.7657552,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.8158848,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.8658104,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.915892,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697563.9659405,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.0158792,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.0661304,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.1162255,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.1663444,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.2164197,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.2662456,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.3164222,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.366538,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.4166927,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.4666717,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.516771,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.5668297,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.6169465,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.6669383,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.717021,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.7670872,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.8172162,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.8672535,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.9173203,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697564.9674323,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.0174615,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.067513,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.1176643,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.1676986,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.2177653,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.2676566,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.3178723,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.3679533,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.4181464,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.4681525,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.5181715,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.5683136,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.6191661,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
1789697565.6684217,Robotmode: RUNNING,Safetystatus: NORMAL,STOPPED null
